"path_id"	"full_path_length"	"testable_path_length"	"mutated_genes"	"proportion_mutated"	"proportion_of_cohort_w_mutated_gene_in_path"	"Num_patient_with_mutated_gene_.s._in_path"	"count_of_mutated_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"DNA Replication Pre-Initiation"	"DNA Replication Pre-Initiation"	82	82	66	0.804878048780488	0.244575936883629	124	157	9	0	0.519452422814035	1
"M/G1 Transition"	"M/G1 Transition"	82	82	66	0.804878048780488	0.244575936883629	124	157	9	0	0.519452422814035	1
"Signaling by Retinoic Acid"	"Signaling by Retinoic Acid"	41	41	33	0.804878048780488	0.169625246548323	86	102	11	0	0.482329455363003	1
"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer"	"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer"	41	41	33	0.804878048780488	0.234714003944773	119	166	18	0	0.482329455363003	1
"Cellular response to heat stress"	"Cellular response to heat stress"	51	51	41	0.803921568627451	0.321499013806706	163	220	32	0	0.501012035124378	1
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways"	"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways"	51	51	41	0.803921568627451	0.289940828402367	147	193	42	0	0.501012035124378	1
"Mitotic Metaphase and Anaphase"	"Mitotic Metaphase and Anaphase"	173	173	139	0.803468208092486	0.453648915187377	230	407	13	0	0.581096648634059	1
"Olfactory Signaling Pathway"	"Olfactory Signaling Pathway"	422	422	339	0.803317535545024	0.781065088757396	396	1375	14	0	0.657488999620003	1
"Activation of NF-kappaB in B cells"	"Activation of NF-kappaB in B cells"	66	66	53	0.803030303030303	0.222879684418146	113	137	10	0	0.523099936149217	1
"Cytosolic sensors of pathogen-associated DNA"	"Cytosolic sensors of pathogen-associated DNA"	66	66	53	0.803030303030303	0.319526627218935	162	240	32	0	0.523099936149217	1
"Antigen processing-Cross presentation"	"Antigen processing-Cross presentation"	81	81	65	0.802469135802469	0.264299802761341	134	176	13	0	0.540866967986956	1
"Separation of Sister Chromatids"	"Separation of Sister Chromatids"	161	161	129	0.801242236024845	0.437869822485207	222	384	13	0	0.604162620814193	1
"ATM mediated phosphorylation of repair proteins"	"ATM mediated phosphorylation of repair proteins"	5	5	4	0.8	0.0769230769230769	39	40	14	0	0.35250664345743	1
"ATM mediated response to DNA double-strand break"	"ATM mediated response to DNA double-strand break"	5	5	4	0.8	0.0769230769230769	39	40	14	0	0.35250664345743	1
"Activation of the pre-replicative complex"	"Activation of the pre-replicative complex"	30	30	24	0.8	0.130177514792899	66	73	9	0	0.492641457342897	1
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	45	45	36	0.8	0.248520710059172	126	172	18	0	0.52077129917812	1
"Assembly of the RAD51-ssDNA nucleoprotein complex"	"Assembly of the RAD51-ssDNA nucleoprotein complex"	5	5	4	0.8	0.0216962524654832	11	11	5	0	0.35250664345743	1
"CDK-mediated phosphorylation and removal of Cdc6"	"CDK-mediated phosphorylation and removal of Cdc6"	50	50	40	0.8	0.134122287968442	68	78	8	0	0.528172646949934	1
"Cellular response to hypoxia"	"Cellular response to hypoxia"	25	25	20	0.8	0.191321499013807	97	113	32	0	0.47998060701246	1
"Cobalamin (Cbl, vitamin B12) transport and metabolism"	"Cobalamin (Cbl, vitamin B12) transport and metabolism"	20	20	16	0.8	0.128205128205128	65	70	33	0	0.464285385321631	1
"Creatine metabolism"	"Creatine metabolism"	10	10	8	0.8	0.0355029585798817	18	19	4	0	0.41240292986026	1
"Cyclin B2 mediated events"	"Cyclin B2 mediated events"	5	5	4	0.8	0.0177514792899408	9	9	3	0	0.35250664345743	1
"Digestion of dietary lipid"	"Digestion of dietary lipid"	5	5	4	0.8	0.0394477317554241	20	21	9	0	0.35250664345743	1
"Free fatty acid receptors"	"Free fatty acid receptors"	5	5	4	0.8	0.0157790927021696	8	8	3	0	0.35250664345743	1
"G2/M DNA replication checkpoint"	"G2/M DNA replication checkpoint"	5	5	4	0.8	0.00986193293885602	5	5	2	0	0.35250664345743	1
"GP1b-IX-V activation signalling"	"GP1b-IX-V activation signalling"	10	10	8	0.8	0.0808678500986193	41	45	18	0	0.41240292986026	1
"Galactose catabolism"	"Galactose catabolism"	5	5	4	0.8	0.0177514792899408	9	9	4	0	0.35250664345743	1
"HSF1-dependent transactivation"	"HSF1-dependent transactivation"	35	35	28	0.8	0.234714003944773	119	144	32	0	0.503306269076989	1
"IRE1alpha activates chaperones"	"IRE1alpha activates chaperones"	50	50	40	0.8	0.185404339250493	94	119	19	0	0.528172646949934	1
"Inactivation, recovery and regulation of the phototransduction cascade"	"Inactivation, recovery and regulation of the phototransduction cascade"	30	30	24	0.8	0.126232741617357	64	82	10	0	0.492641457342897	1
"Interactions of Rev with host cellular proteins"	"Interactions of Rev with host cellular proteins"	35	35	28	0.8	0.179487179487179	91	118	11	0	0.503306269076989	1
"LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production"	"LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production"	5	5	4	0.8	0.128205128205128	65	69	32	0	0.35250664345743	1
"Metal ion SLC transporters"	"Metal ion SLC transporters"	25	25	20	0.8	0.112426035502959	57	69	12	0	0.47998060701246	1
"Methylation"	"Methylation"	10	10	8	0.8	0.0315581854043393	16	17	4	0	0.41240292986026	1
"Muscarinic acetylcholine receptors"	"Muscarinic acetylcholine receptors"	5	5	4	0.8	0.0256410256410256	13	14	7	0	0.35250664345743	1
"NEP/NS2 Interacts with the Cellular Export Machinery"	"NEP/NS2 Interacts with the Cellular Export Machinery"	35	35	28	0.8	0.181459566074951	92	123	11	0	0.503306269076989	1
"NOSTRIN mediated eNOS trafficking"	"NOSTRIN mediated eNOS trafficking"	5	5	4	0.8	0.0335305719921105	17	17	10	0	0.35250664345743	1
"Nef Mediated CD4 Down-regulation"	"Nef Mediated CD4 Down-regulation"	10	10	8	0.8	0.0335305719921105	17	18	4	0	0.41240292986026	1
"Netrin mediated repulsion signals"	"Netrin mediated repulsion signals"	10	10	8	0.8	0.143984220907298	73	82	23	0	0.41240292986026	1
"PKA-mediated phosphorylation of key metabolic factors"	"PKA-mediated phosphorylation of key metabolic factors"	5	5	4	0.8	0.0236686390532544	12	12	4	0	0.35250664345743	1
"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation"	"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation"	10	10	8	0.8	0.0315581854043393	16	16	3	0	0.41240292986026	1
"Propionyl-CoA catabolism"	"Propionyl-CoA catabolism"	5	5	4	0.8	0.0256410256410256	13	13	8	0	0.35250664345743	1
"Purine catabolism"	"Purine catabolism"	10	10	8	0.8	0.0493096646942801	25	26	7	0	0.41240292986026	1
"RNA Polymerase III Transcription Initiation"	"RNA Polymerase III Transcription Initiation"	35	35	28	0.8	0.128205128205128	65	89	14	0	0.503306269076989	1
"Regulated proteolysis of p75NTR"	"Regulated proteolysis of p75NTR"	10	10	8	0.8	0.0394477317554241	20	20	5	0	0.41240292986026	1
"Regulation of Hypoxia-inducible Factor (HIF) by oxygen"	"Regulation of Hypoxia-inducible Factor (HIF) by oxygen"	25	25	20	0.8	0.191321499013807	97	113	32	0	0.47998060701246	1
"Role of DCC in regulating apoptosis"	"Role of DCC in regulating apoptosis"	10	10	8	0.8	0.0986193293885602	50	52	23	0	0.41240292986026	1
"S6K1 signalling"	"S6K1 signalling"	5	5	4	0.8	0.0532544378698225	27	27	15	0	0.35250664345743	1
"SMAC binds to IAPs"	"SMAC binds to IAPs"	5	5	4	0.8	0.0157790927021696	8	8	3	0	0.35250664345743	1
"SMAC-mediated apoptotic response"	"SMAC-mediated apoptotic response"	5	5	4	0.8	0.0157790927021696	8	8	3	0	0.35250664345743	1
"SMAC-mediated dissociation of IAP:caspase complexes"	"SMAC-mediated dissociation of IAP:caspase complexes"	5	5	4	0.8	0.0157790927021696	8	8	3	0	0.35250664345743	1
"Sodium-coupled phosphate cotransporters"	"Sodium-coupled phosphate cotransporters"	5	5	4	0.8	0.0276134122287968	14	15	5	0	0.35250664345743	1
"Sperm:Oocyte Membrane Binding"	"Sperm:Oocyte Membrane Binding"	5	5	4	0.8	0.0138067061143984	7	7	3	0	0.35250664345743	1
"Synthesis of Dolichyl-phosphate"	"Synthesis of Dolichyl-phosphate"	5	5	4	0.8	0.0138067061143984	7	7	3	0	0.35250664345743	1
"Synthesis of pyrophosphates in the cytosol"	"Synthesis of pyrophosphates in the cytosol"	10	10	8	0.8	0.0394477317554241	20	22	8	0	0.41240292986026	1
"Tachykinin receptors bind tachykinins"	"Tachykinin receptors bind tachykinins"	5	5	4	0.8	0.0236686390532544	12	12	5	0	0.35250664345743	1
"Vitamin B2 (riboflavin) metabolism"	"Vitamin B2 (riboflavin) metabolism"	5	5	4	0.8	0.0335305719921105	17	17	10	0	0.35250664345743	1
"mRNA decay by 5' to 3' exoribonuclease"	"mRNA decay by 5' to 3' exoribonuclease"	15	15	12	0.8	0.0650887573964497	33	35	9	0	0.443469917887149	1
"negative regulation of TCF-dependent signaling by DVL-interacting proteins"	"negative regulation of TCF-dependent signaling by DVL-interacting proteins"	5	5	4	0.8	0.0473372781065089	24	26	11	0	0.35250664345743	1
"G alpha (q) signalling events"	"G alpha (q) signalling events"	189	189	151	0.798941798941799	0.650887573964497	330	693	85	0	0.648197919149443	1
"Orphan transporters"	"Orphan transporters"	114	114	91	0.798245614035088	0.493096646942801	250	464	43	0	0.608551591790997	1
"ER-Phagosome pathway"	"ER-Phagosome pathway"	64	64	51	0.796875	0.209072978303748	106	133	13	0	0.57093388143111	1
"Degradation of GLI2 by the proteasome"	"Degradation of GLI2 by the proteasome"	59	59	47	0.796610169491525	0.193293885601578	98	112	11	0	0.566147372739778	1
"GLI3 is processed to GLI3R by the proteasome"	"GLI3 is processed to GLI3R by the proteasome"	59	59	47	0.796610169491525	0.183431952662722	93	110	9	0	0.566147372739778	1
"SCF-beta-TrCP mediated degradation of Emi1"	"SCF-beta-TrCP mediated degradation of Emi1"	54	54	43	0.796296296296296	0.155818540433925	79	89	8	0	0.561056536470323	1
"Cross-presentation of soluble exogenous antigens (endosomes)"	"Cross-presentation of soluble exogenous antigens (endosomes)"	49	49	39	0.795918367346939	0.14792899408284	75	83	9	0	0.555604291233383	1
"Interferon Signaling"	"Interferon Signaling"	196	196	156	0.795918367346939	0.506903353057199	257	525	15	0	0.690858505516817	1
"Metabolism of non-coding RNA"	"Metabolism of non-coding RNA"	49	49	39	0.795918367346939	0.207100591715976	105	140	11	0	0.555604291233383	1
"snRNP Assembly"	"snRNP Assembly"	49	49	39	0.795918367346939	0.207100591715976	105	140	11	0	0.555604291233383	1
"Metabolism"	"Metabolism"	1565	1565	1245	0.795527156549521	0.976331360946746	495	4455	85	0	0.964358483092292	1
"Metabolic disorders of biological oxidation enzymes"	"Metabolic disorders of biological oxidation enzymes"	614	614	487	0.793159609120521	0.848126232741617	430	1554	24	0	0.880300886093697	1
"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription"	"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription"	29	29	23	0.793103448275862	0.155818540433925	79	92	11	0	0.528122754648245	1
"The role of Nef in HIV-1 replication and disease pathogenesis"	"The role of Nef in HIV-1 replication and disease pathogenesis"	29	29	23	0.793103448275862	0.179487179487179	91	107	13	0	0.528122754648245	1
"Mitotic G1-G1/S phases"	"Mitotic G1-G1/S phases"	135	135	107	0.792592592592593	0.467455621301775	237	343	71	0	0.685397820084585	1
"XBP1(S) activates chaperone genes"	"XBP1(S) activates chaperone genes"	48	48	38	0.791666666666667	0.181459566074951	92	114	19	0	0.583184714110299	1
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"	"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"	67	67	53	0.791044776119403	0.209072978303748	106	126	6	0	0.621474431867246	1
"HIV Transcription Initiation"	"HIV Transcription Initiation"	43	43	34	0.790697674418605	0.193293885601578	98	117	20	0	0.578881383894142	1
"Pyruvate metabolism and Citric Acid (TCA) cycle"	"Pyruvate metabolism and Citric Acid (TCA) cycle"	43	43	34	0.790697674418605	0.142011834319527	72	82	6	0	0.578881383894142	1
"RNA Polymerase II HIV Promoter Escape"	"RNA Polymerase II HIV Promoter Escape"	43	43	34	0.790697674418605	0.193293885601578	98	117	20	0	0.578881383894142	1
"RNA Polymerase II Promoter Escape"	"RNA Polymerase II Promoter Escape"	43	43	34	0.790697674418605	0.193293885601578	98	117	20	0	0.578881383894142	1
"RNA Polymerase II Transcription Initiation"	"RNA Polymerase II Transcription Initiation"	43	43	34	0.790697674418605	0.193293885601578	98	117	20	0	0.578881383894142	1
"RNA Polymerase II Transcription Initiation And Promoter Clearance"	"RNA Polymerase II Transcription Initiation And Promoter Clearance"	43	43	34	0.790697674418605	0.193293885601578	98	117	20	0	0.578881383894142	1
"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening"	"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening"	43	43	34	0.790697674418605	0.193293885601578	98	117	20	0	0.578881383894142	1
"M Phase"	"M Phase"	266	266	210	0.789473684210526	0.631163708086785	320	694	23	0	0.808731399607736	1
"Signaling by NODAL"	"Signaling by NODAL"	19	19	15	0.789473684210526	0.0867850098619329	44	45	10	0	0.507592607603165	1
"Transcriptional regulation by small RNAs"	"Transcriptional regulation by small RNAs"	71	71	56	0.788732394366197	0.297830374753452	151	207	11	0	0.646022322899279	1
"Vpu mediated degradation of CD4"	"Vpu mediated degradation of CD4"	52	52	41	0.788461538461538	0.136094674556213	69	78	8	0	0.613472017497706	1
"Cyclin A:Cdk2-associated events at S phase entry"	"Cyclin A:Cdk2-associated events at S phase entry"	66	66	52	0.787878787878788	0.201183431952663	102	121	10	0	0.644266178432983	1
"E2F mediated regulation of DNA replication"	"E2F mediated regulation of DNA replication"	33	33	26	0.787878787878788	0.122287968441815	62	71	10	0	0.569485541020721	1
"Purine metabolism"	"Purine metabolism"	33	33	26	0.787878787878788	0.130177514792899	66	76	8	0	0.569485541020721	1
"Rev-mediated nuclear export of HIV RNA"	"Rev-mediated nuclear export of HIV RNA"	33	33	26	0.787878787878788	0.173570019723866	88	114	11	0	0.569485541020721	1
"RNA Polymerase I Transcription Initiation"	"RNA Polymerase I Transcription Initiation"	47	47	37	0.787234042553192	0.181459566074951	92	116	9	0	0.610783894989618	1
"Signaling by NOTCH"	"Signaling by NOTCH"	122	122	96	0.786885245901639	0.777120315581854	394	796	257	0	0.728617038456699	1
"Organelle biogenesis and maintenance"	"Organelle biogenesis and maintenance"	323	323	254	0.786377708978328	0.727810650887574	369	1024	29	0	0.868567588147283	1
"Dual incision reaction in TC-NER"	"Dual incision reaction in TC-NER"	28	28	22	0.785714285714286	0.128205128205128	65	74	10	0	0.564289937536294	1
"Formation of transcription-coupled NER (TC-NER) repair complex"	"Formation of transcription-coupled NER (TC-NER) repair complex"	28	28	22	0.785714285714286	0.128205128205128	65	74	10	0	0.564289937536294	1
"Response to elevated platelet cytosolic Ca2+"	"Response to elevated platelet cytosolic Ca2+"	84	84	66	0.785714285714286	0.579881656804734	294	537	187	0	0.690401916311509	1
"SCF(Skp2)-mediated degradation of p27/p21"	"SCF(Skp2)-mediated degradation of p27/p21"	56	56	44	0.785714285714286	0.161735700197239	82	95	8	0	0.640987355543489	1
"TRAF3-dependent IRF activation pathway"	"TRAF3-dependent IRF activation pathway"	14	14	11	0.785714285714286	0.171597633136095	87	95	32	0	0.493211616634941	1
"Transcriptional regulation of pluripotent stem cells"	"Transcriptional regulation of pluripotent stem cells"	42	42	33	0.785714285714286	0.185404339250493	94	113	10	0	0.608120457186662	1
"Immune System"	"Immune System"	1216	1216	955	0.785361842105263	0.962524654832347	488	3898	85	0	0.993893822920411	1
"Cellular Senescence"	"Cellular Senescence"	158	158	124	0.784810126582278	0.775147928994083	393	775	257	0	0.783240019045635	1
"Cyclin E associated events during G1/S transition"	"Cyclin E associated events during G1/S transition"	65	65	51	0.784615384615385	0.195266272189349	99	116	10	0	0.666805350456324	1
"Cargo trafficking to the periciliary membrane"	"Cargo trafficking to the periciliary membrane"	51	51	40	0.784313725490196	0.238658777120316	121	165	14	0	0.639531155434717	1
"G-protein beta:gamma signalling"	"G-protein beta:gamma signalling"	51	51	40	0.784313725490196	0.36094674556213	183	244	85	0	0.639531155434717	1
"Disease"	"Disease"	1954	1954	1531	0.783520982599795	0.986193293885602	500	5821	85	0	0.9998626405613	1
"Synthesis of DNA"	"Synthesis of DNA"	97	97	76	0.783505154639175	0.293885601577909	149	192	10	0	0.727238513974532	1
"Transcription"	"Transcription"	203	203	159	0.783251231527094	0.495069033530572	251	482	20	0	0.833026754663098	1
"BBSome-mediated cargo-targeting to cilium"	"BBSome-mediated cargo-targeting to cilium"	23	23	18	0.782608695652174	0.102564102564103	52	59	6	0	0.558665586622865	1
"Signaling by BMP"	"Signaling by BMP"	23	23	18	0.782608695652174	0.110453648915187	56	67	10	0	0.558665586622865	1
"Fcgamma receptor (FCGR) dependent phagocytosis"	"Fcgamma receptor (FCGR) dependent phagocytosis"	119	119	93	0.781512605042017	0.571992110453649	290	514	85	0	0.771968007173171	1
"Formation of the Early Elongation Complex"	"Formation of the Early Elongation Complex"	32	32	25	0.78125	0.122287968441815	62	69	10	0	0.60306732696441	1
"Formation of the HIV-1 Early Elongation Complex"	"Formation of the HIV-1 Early Elongation Complex"	32	32	25	0.78125	0.122287968441815	62	69	10	0	0.60306732696441	1
"Signaling by NOTCH2"	"Signaling by NOTCH2"	32	32	25	0.78125	0.187376725838264	95	120	32	0	0.60306732696441	1
"DNA Replication"	"DNA Replication"	105	105	82	0.780952380952381	0.305719921104536	155	205	10	0	0.758800559882022	1
"Regulation of ornithine decarboxylase (ODC)"	"Regulation of ornithine decarboxylase (ODC)"	50	50	39	0.78	0.132149901380671	67	76	8	0	0.665330868367179	1
"G1/S Transition"	"G1/S Transition"	109	109	85	0.779816513761468	0.317554240631164	161	211	10	0	0.773075714196437	1
"Integration of energy metabolism"	"Integration of energy metabolism"	104	104	81	0.778846153846154	0.526627218934911	267	455	25	0	0.773842190264695	1
"A third proteolytic cleavage releases NICD"	"A third proteolytic cleavage releases NICD"	9	9	7	0.777777777777778	0.19723865877712	100	108	66	0	0.472570599709614	1
"Adrenoceptors"	"Adrenoceptors"	9	9	7	0.777777777777778	0.0335305719921105	17	19	5	0	0.472570599709614	1
