"V1"
"NS1 Mediated Effects on Host Pathways"	"CPSF4 EIF2AK2 PABPN1"
"Nuclear Envelope Breakdown"	"BANF1 CCNB1 CDK1 PLK1 PRKCA PRKCB NEK6 NEK7 NEK9 AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR LMNA LMNB1 CNEP1R1 EMD LEMD2 LEMD3 LPIN1 LPIN2 LPIN3 TMPO VRK1 VRK2"
"Nuclear Envelope Reassembly"	"BANF1 PPP2CA PPP2R1A LMNA LMNB1 EMD LEMD2 LEMD3 PPP2R2A TMPO VRK1 VRK2"
"Nuclear Events (kinase and transcription factor activation)"	"MAPK14 CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D MAPK1 MAPK3 ATF1 DUSP3 DUSP4 DUSP6 DUSP7 ELK1 MAPK7 MAPKAPK2 MEF2A MEF2C RPS6KA2 RPS6KA3 RPS6KA5"
"Nuclear Pore Complex (NPC) Disassembly"	"CCNB1 CDK1 NEK6 NEK7 NEK9 AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR"
"Nuclear Receptor transcription pathway"	"NR4A1 MED1 PPARA RXRA NR1D1 NR3C1 NR1H4 HNF4A HNF4G NR5A1 NR5A2 NR6A1 PPARG ESRRA PPARD AR ESR2 ESRRB ESRRG NR0B1 NR1D2 NR1H2 NR1H3 NR1I2 NR1I3 NR2C1 NR2C2 NR2C2AP NR2E1 NR2F1 NR2F6 NR3C2 NR4A2 NR4A3 NRBF2 NRBP1 PGR RARA RARB RARG RORB RORC RXRB RXRG THRA THRB VDR"
"Nuclear import of Rev protein"	"KPNB1 AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR NPM1"
"Nuclear signaling by ERBB4"	"APH1A NCSTN PSEN2 PSENEN CUL1 SKP1 JAK2 S100B BTC ERBB4 EREG HBEGF NRG1 NRG2 PRL NCOR1 CXCL12 CSH1 GH1 GH2 GHR PRLR SH2B1 STAT5A STAT5B YAP1 PGR CSN2 GFAP WWOX"
"Nucleosome assembly"	"H2AFX H2AFB1 HIST1H2AB HIST1H2AC HIST1H2AD HIST1H2AJ HIST1H2BA HIST1H2BB HIST1H2BC HIST1H2BD HIST1H2BH HIST1H2BJ HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN HIST1H2BO HIST1H4A HIST2H2AA3 HIST2H2AC HIST2H2BE HIST3H2BB APITD1 CENPA CENPH CENPI CENPK CENPL CENPN CENPO CENPP CENPQ CENPT CENPW HJURP ITGB3BP MIS18BP1 NPM1 RBBP4 RBBP7 RSF1 RUVBL1 SMARCA5 STRA13"
"Nucleotide Excision Repair"	"POLR2A POLR2B POLR2C POLR2E POLR2G POLR2H POLR2I POLR2J POLR2K POLR2L RFC2 RFC3 RFC4 RFC5 RPA3 POLE2 APEX1 PCNA POLD1 POLD2 POLD3 POLD4 CCNH CDK7 MNAT1 ERCC2 RAD23B XPC DDB1 DDB2 ERCC4 ERCC5 ERCC6 ERCC8 GTF2H1 GTF2H2 GTF2H3 GTF2H4 TCEA1 XAB2 XPA"
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways"	"MAPK14 CASP9 CHUK ITCH BIRC2 BIRC3 CASP8 IKBKB IKBKG IRAK1 IRAK2 MAP2K6 MAP3K7 NOD1 NOD2 RIPK2 TAB3 TRAF6 UBE2V1 BCL2 BCL2L1 HSP90AB1 CASP2 MAPK13 TXN CASP1 PANX1 AIM2 CARD9 CASP4 CYLD MEFV NLRC4 NLRP3 PSTPIP1 SUGT1 TNFAIP3 TXNIP"
"Nucleotide-like (purinergic) receptors"	"P2RY1 P2RY12 ADORA2A ADORA1 ADORA2B ADORA3 LPAR4 LPAR6 P2RY10 P2RY11 P2RY13 P2RY14 P2RY2 P2RY4 P2RY6"
"O-glycosylation of TSR domain-containing proteins"	"SEMA5A ADAMTS14 ADAMTS2 ADAMTS3 ADAMTS16 ADAMTS18 ADAMTS4 ADAMTS8 ADAMTS9 ADAMTS10 ADAMTS12 ADAMTS13 ADAMTS15 ADAMTS17 ADAMTS19 ADAMTS20 ADAMTS6 ADAMTS7 ADAMTSL1 ADAMTSL2 ADAMTSL3 ADAMTSL4 ADAMTSL5 B3GALTL CFP POFUT2 SBSPON SEMA5B SPON1 SPON2 SSPO THBS2 THSD1 THSD7A THSD7B"
"O-linked glycosylation"	"B4GALT5 B4GALT6 ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST6GAL1 ST6GALNAC2 ST6GALNAC3 ST6GALNAC4 SEMA5A ADAMTS14 ADAMTS2 ADAMTS3 B3GNT2 B3GNT3 B3GNT7 ADAMTS16 ADAMTS18 ADAMTS4 ADAMTS8 ADAMTS9 ADAMTS10 ADAMTS12 ADAMTS13 ADAMTS15 ADAMTS17 ADAMTS19 ADAMTS20 ADAMTS6 ADAMTS7 ADAMTSL1 ADAMTSL2 ADAMTSL3 ADAMTSL4 ADAMTSL5 B3GALTL B3GNT5 B3GNT6 B3GNT9 B3GNTL1 C1GALT1 C1GALT1C1 CFP GALNT1 GALNT10 GALNT11 GALNT12 GALNT13 GALNT14 GALNT15 GALNT16 GALNT18 GALNT2 GALNT3 GALNT4 GALNT5 GALNT6 GALNT7 GALNT8 GALNTL5 GALNTL6 GCNT1 GCNT4 GCNT7 MUC1 MUC12 MUC13 MUC15 MUC16 MUC17 MUC2 MUC20 MUC21 MUC4 MUC5B MUC6 MUC7 MUCL1 POFUT2 SBSPON SEMA5B SPON1 SPON2 SSPO THBS2 THSD1 THSD7A THSD7B WBSCR17"
"O-linked glycosylation of mucins"	"B4GALT5 B4GALT6 ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST6GAL1 ST6GALNAC2 ST6GALNAC3 ST6GALNAC4 B3GNT2 B3GNT3 B3GNT7 B3GNT5 B3GNT6 B3GNT9 B3GNTL1 C1GALT1 C1GALT1C1 GALNT1 GALNT10 GALNT11 GALNT12 GALNT13 GALNT14 GALNT15 GALNT16 GALNT18 GALNT2 GALNT3 GALNT4 GALNT5 GALNT6 GALNT7 GALNT8 GALNTL5 GALNTL6 GCNT1 GCNT4 GCNT7 MUC1 MUC12 MUC13 MUC15 MUC16 MUC17 MUC2 MUC20 MUC21 MUC4 MUC5B MUC6 MUC7 MUCL1 WBSCR17"
"O2/CO2 exchange in erythrocytes"	"RHAG AQP1 SLC4A1 HBA1 HBB CA1 CA2 CA4"
"Olfactory Signaling Pathway"	"GNB1 GNGT1 GNAL OR10A2 OR10A3 OR10A4 OR10A5 OR10A6 OR10A7 OR10AD1 OR10AG1 OR10C1 OR10G2 OR10G3 OR10G4 OR10G7 OR10G8 OR10G9 OR10H1 OR10H2 OR10H3 OR10H4 OR10H5 OR10J1 OR10J3 OR10J5 OR10K1 OR10K2 OR10P1 OR10Q1 OR10R2 OR10S1 OR10T2 OR10V1 OR10W1 OR10X1 OR10Z1 OR11A1 OR11G2 OR11H1 OR11H2 OR11H4 OR11H6 OR11L1 OR12D2 OR12D3 OR13A1 OR13C2 OR13C3 OR13C4 OR13C5 OR13C8 OR13C9 OR13D1 OR13F1 OR13G1 OR13H1 OR13J1 OR14A16 OR14C36 OR14I1 OR14J1 OR1B1 OR1C1 OR1F1 OR1F2P OR1I1 OR1J1 OR1J2 OR1J4 OR1K1 OR1L1 OR1L3 OR1L4 OR1L6 OR1L8 OR1M1 OR1N1 OR1N2 OR1Q1 OR1S1 OR1S2 OR2A1 OR2A12 OR2A14 OR2A2 OR2A25 OR2A4 OR2A5 OR2A7 OR2AE1 OR2AG1 OR2AG2 OR2AK2 OR2AT4 OR2B11 OR2B2 OR2B3 OR2B6 OR2C1 OR2C3 OR2D2 OR2D3 OR2F1 OR2F2 OR2G2 OR2G3 OR2G6 OR2H1 OR2H2 OR2J2 OR2J3 OR2K2 OR2L13 OR2L2 OR2L3 OR2L8 OR2M2 OR2M3 OR2M4 OR2M5 OR2M7 OR2S2 OR2T1 OR2T10 OR2T11 OR2T12 OR2T2 OR2T27 OR2T29 OR2T3 OR2T33 OR2T34 OR2T35 OR2T4 OR2T5 OR2T6 OR2T8 OR2V2 OR2W1 OR2W3 OR2W5 OR2Y1 OR2Z1 OR4A15 OR4A16 OR4A47 OR4A5 OR4B1 OR4C11 OR4C12 OR4C13 OR4C15 OR4C16 OR4C3 OR4C45 OR4C46 OR4C6 OR4D1 OR4D10 OR4D11 OR4D2 OR4D5 OR4D6 OR4D9 OR4E2 OR4F15 OR4F17 OR4F21 OR4F3 OR4F4 OR4F5 OR4F6 OR4K1 OR4K13 OR4K14 OR4K15 OR4K17 OR4K2 OR4K5 OR4L1 OR4M1 OR4M2 OR4N2 OR4N4 OR4N5 OR4P4 OR4Q3 OR4S1 OR4S2 OR4X1 OR4X2 OR51A2 OR51A4 OR51A7 OR51B2 OR51B4 OR51B5 OR51B6 OR51D1 OR51E1 OR51E2 OR51F1 OR51F2 OR51G1 OR51G2 OR51I1 OR51I2 OR51L1 OR51M1 OR51Q1 OR51S1 OR51T1 OR51V1 OR52A1 OR52A5 OR52B2 OR52B4 OR52B6 OR52D1 OR52E2 OR52E4 OR52E6 OR52E8 OR52H1 OR52I1 OR52I2 OR52J3 OR52K1 OR52K2 OR52L1 OR52M1 OR52N1 OR52N2 OR52N4 OR52N5 OR52R1 OR52W1 OR56A1 OR56A3 OR56A4 OR56A5 OR56B1 OR56B4 OR5A1 OR5A2 OR5AC2 OR5AK2 OR5AN1 OR5AP2 OR5AR1 OR5AS1 OR5AU1 OR5B12 OR5B17 OR5B2 OR5B21 OR5B3 OR5C1 OR5D13 OR5D14 OR5D16 OR5D18 OR5F1 OR5H1 OR5H14 OR5H15 OR5H2 OR5H6 OR5I1 OR5J2 OR5K1 OR5K2 OR5K3 OR5K4 OR5L1 OR5L2 OR5M1 OR5M10 OR5M11 OR5M3 OR5M8 OR5M9 OR5P2 OR5P3 OR5R1 OR5T1 OR5T2 OR5T3 OR5V1 OR5W2 OR6A2 OR6B1 OR6B2 OR6B3 OR6C1 OR6C2 OR6C3 OR6C4 OR6C6 OR6C65 OR6C68 OR6C70 OR6C74 OR6C75 OR6C76 OR6F1 OR6K2 OR6K3 OR6K6 OR6M1 OR6N1 OR6N2 OR6P1 OR6Q1 OR6S1 OR6T1 OR6V1 OR6X1 OR6Y1 OR7A10 OR7A17 OR7A5 OR7C1 OR7C2 OR7D2 OR7D4 OR7E24 OR7G1 OR7G2 OR7G3 OR8A1 OR8B12 OR8B2 OR8B3 OR8B4 OR8B8 OR8D1 OR8D2 OR8D4 OR8G1 OR8G2 OR8G5 OR8H1 OR8H2 OR8H3 OR8I2 OR8J1 OR8J3 OR8K1 OR8K3 OR8K5 OR8S1 OR8U1 OR8U8 OR9A2 OR9A4 OR9G1 OR9G4 OR9G9 OR9I1 OR9K2 OR9Q1 OR9Q2"
"Oligomerization of connexins into connexons"	"GJA1 GJB1 GJB2"
"Oncogene Induced Senescence"	"RPS27A UBA52 MDM2 UBB UBC MAPK1 MAPK3 E2F1 TFDP1 TP53 SP1 AGO1 AGO3 AGO4 MOV10 TNRC6A TNRC6C E2F3 CDK4 CDK6 CDKN2A CDKN2B CDKN2C CDKN2D ETS1 ETS2 ID1 MIR24-1 MIR24-2"
"Opioid Signalling"	"GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 PLA2G4A GNAI1 GNAI2 GNAI3 GNAT3 CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D MAPK1 PLCB1 PLCB3 PRKCA PPP3CC PPP3R1 CALM1 CAMK4 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 GNAL PRKACA PRKACB PRKACG ADRBK1 GNAT1 ITPR1 ITPR2 ITPR3 PRKAR2B POMC PRKCD PRKAR1A PRKAR1B PRKAR2A CDK5 PDE1A PDE1B PDE1C PRKCG GNAO1 GNAT2 PPP3CB PDYN PDE4A PDE4B PDE4C PDE4D PPP1CA PPP1R1B GNAZ PLCB4"
"Opsins"	"RHO OPN1LW OPN1MW OPN1SW OPN3 OPN5"
"Orc1 removal from chromatin"	"RPS27A UBA52 CDKN1A CDKN1B PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC CCNA1 CCNA2 CDK2 FZR1 CDC6 MCM2 MCM3 MCM4 MCM5 MCM7 MCM8 ORC1 ORC2 ORC3 ORC4 ORC5 ORC6 CDT1 RB1"
"Orexin and neuropeptides FF and QRFP bind to their respective receptors"	"HCRT HCRTR1 HCRTR2 NPFF NPFFR1 NPFFR2 QRFP QRFPR"
"Organelle biogenesis and maintenance"	"MAPK14 CREB1 PPP2R1A PRKAA2 PRKAB2 PRKAG2 NEK2 CDK1 PLK1 ARL13B INPP5E PDE6D ATF2 MEF2C YWHAG DYNLL1 DYNLL2 CALM1 CAMK4 AKAP9 PRKACA PPARGC1A PRKAB1 PRKAG3 KIF3A SMO CYCS CARM1 CHD9 CREBBP MED1 NCOA1 NCOA2 NCOA6 PPARA RXRA SMARCD3 TBL1X TBL1XR1 TGS1 CNGB1 RHO DCTN1 DCTN2 DCTN3 DYNC1H1 DYNC1I2 DYNC2H1 DYNC2LI1 KIF3B KIF3C KIFAP3 ALMS1 B9D1 C2CD3 CC2D2A CCP110 CDK5RAP2 CENPJ CEP135 CEP152 CEP164 CEP192 CEP250 CEP290 CEP41 CEP57 CEP63 CEP70 CEP72 CEP76 CEP78 CEP89 CEP97 CETN2 CKAP5 CLASP1 CNTRL CSNK1D FBF1 FGFR1OP HSP90AA1 IQCB1 KIF24 MAPRE1 MARK4 MKS1 NDE1 NINL NPHP1 NPHP4 ODF2 OFD1 PCM1 PCNT PLK4 PRKAR2B RAB3IP RAB8A RPGRIP1L SCLT1 SDCCAG8 SEPT2 SFI1 SSNA1 TCTN1 TCTN2 TMEM216 TMEM67 TUBA1A TUBA4A TUBB TUBB4A TUBB4B TUBG1 ARF4 ARL6 ASAP1 ATAT1 BBIP1 BBS1 BBS12 BBS2 BBS5 BBS7 BBS9 CCT2 CCT3 CCT4 CCT5 CLUAP1 CNGA2 CNGA4 CYS1 DYNLRB1 DYNLRB2 EXOC1 EXOC2 EXOC3 EXOC4 EXOC5 EXOC7 EXOC8 HDAC6 HSPB11 IFT122 IFT140 IFT172 IFT20 IFT27 IFT43 IFT46 IFT52 IFT57 IFT74 IFT80 IFT81 IFT88 LZTFL1 MCHR1 MKKS NPHP3 PKD1 PKD2 RAB11FIP3 RP2 TCP1 TCTE3 TCTEX1D1 TCTEX1D2 TNPO1 TRAF3IP1 TRIP11 TTC21B TTC26 TTC30A TTC30B TTC8 WDR19 WDR34 WDR35 WDR60 MRPL18 HDAC3 NCOR1 NR1D1 MEF2D HCFC1 ALAS1 ESRRA NRF1 PPARGC1B ATP5B POLRMT TFAM TFB2M POLG2 SIRT3 SSBP1 AURKAIP1 CHCHD1 DAP3 GADD45GIP1 GFM1 GFM2 ICT1 MRPL1 MRPL10 MRPL11 MRPL12 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL19 MRPL2 MRPL20 MRPL21 MRPL22 MRPL23 MRPL24 MRPL27 MRPL28 MRPL3 MRPL30 MRPL32 MRPL33 MRPL34 MRPL35 MRPL36 MRPL37 MRPL38 MRPL4 MRPL40 MRPL41 MRPL44 MRPL45 MRPL46 MRPL47 MRPL48 MRPL49 MRPL50 MRPL51 MRPL52 MRPL53 MRPL54 MRPL55 MRPL9 MRPS10 MRPS11 MRPS12 MRPS14 MRPS15 MRPS16 MRPS17 MRPS18A MRPS18B MRPS18C MRPS21 MRPS22 MRPS23 MRPS24 MRPS25 MRPS26 MRPS27 MRPS28 MRPS30 MRPS31 MRPS33 MRPS34 MRPS35 MRPS36 MRPS5 MRPS6 MRPS7 MRPS9 MRRF MTIF2 MTIF3 PTCD3 TSFM TUFM"
"Organic anion transport"	"SLC22A11 SLC22A12 SLC22A6 SLC22A7 SLC22A8"
"Organic anion transporters"	"SLC5A5 SLC17A1 SLC17A5 SLC17A6 SLC17A7 SLC17A8 SLC25A10 SLC5A8"
"Organic cation transport"	"SLC22A1 SLC22A2 SLC22A3 SLC22A15 SLC22A16 SLC22A18 SLC22A4 SLC22A5"
"Organic cation/anion/zwitterion transport"	"SLC22A1 SLC22A2 SLC22A3 SLC22A11 SLC22A12 SLC22A6 SLC22A7 SLC22A8 SLC22A15 SLC22A16 SLC22A18 SLC22A4 SLC22A5"
"Orphan transporters"	"PLG CYCS CARM1 CHD9 CREBBP MED1 NCOA1 NCOA2 NCOA6 PPARA RXRA SMARCD3 TBL1X TBL1XR1 TGS1 TUBB4A TUBB4B CYP7A1 CYP7B1 FABP6 NR1H4 SLC10A2 APOB ARHGEF9 TUBB2A TUBB2B TUBB3 TUBB6 ABCD4 SLC5A1 SLC5A4 SLC5A9 PLAT S100A10 GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRG2 GABRG3 GABRQ RARA RARB RARG RXRB RXRG CERK CETP ANO1 ANO10 ANO2 ANO3 ANO4 ANO5 ANO6 ANO7 ANO8 ANO9 BEST1 BEST2 BEST3 BEST4 CLCA1 CLCA2 CLCA3P CLCA4 TTYH2 TTYH3 LCN2 SLC22A17 APOF COX11 COX16 COX18 COX19 COX4I1 COX5B COX6A1 COX6B1 COX6C COX7A2L COX7B COX7C COX8A LRPPRC SURF1 TACO1 ARL2 TBCD APOD ARV1 CRABP2 LCN1 LCN12 LCN15 LCN9"
"Other semaphorin interactions"	"ITGB1 PTPRC TYROBP CD72 ITGA1 PLXNA1 PLXNA2 PLXNA4 PLXNB3 PLXND1 SEMA3E SEMA4A SEMA4D SEMA5A SEMA6A TREM2"
"Oxidative Stress Induced Senescence"	"RPS27A UBA52 MAPK14 MDM2 UBB UBC MAPK1 MAPK3 H2AFX FOS JUN MAP2K3 MAP2K6 MAP2K7 MAPK10 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 E2F1 TFDP1 TP53 AGO1 AGO3 AGO4 MOV10 TNRC6A TNRC6C H2AFB1 H3F3A HIST1H2AB HIST1H2AC HIST1H2AD HIST1H2AJ HIST1H2BA HIST1H2BB HIST1H2BC HIST1H2BD HIST1H2BH HIST1H2BJ HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN HIST1H2BO HIST1H3A HIST1H4A HIST2H2AA3 HIST2H2AC HIST2H2BE HIST2H3A HIST3H2BB E2F3 CDK4 CDK6 CDKN2A CDKN2B CDKN2C CDKN2D RBBP4 RBBP7 BMI1 CBX2 CBX4 CBX8 EED EZH2 IFNB1 KDM6B MAP3K5 MAP4K4 MIR24-1 MIR24-2 PHC1 PHC2 PHC3 RING1 RNF2 SCMH1 SUZ12 TNIK TXN"
"Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha"	"EPAS1 HIF1A"
"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha"	"RPS27A UBA52 UBB UBC UBE2D1 UBE2D2 CUL2 TCEB1 TCEB2 VHL EGLN1 EGLN2 EGLN3 EPAS1 HIF1A"
"P2Y receptors"	"P2RY1 P2RY12 LPAR4 LPAR6 P2RY10 P2RY11 P2RY13 P2RY14 P2RY2 P2RY4 P2RY6"
"PAOs oxidise polyamines to amines"	"PAOX SMOX"
"PCP/CE pathway"	"RPS27A UBA52 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC PRKCA PRKCB RAC1 AP2A1 AP2A2 AP2M1 CLTA CLTC SMURF1 SMURF2 FZD1 FZD2 FZD3 FZD4 FZD5 FZD7 FZD8 PARD6A PRICKLE1 SCRIB VANGL2 WNT5A CLTB RHOA PRKCG FZD6 WNT11 DVL1 DVL3 RYK WNT5B DAAM1 RAC3 ROR1 ROR2"
"PD-1 signaling"	"CD247 CD274 CD3D CD3E CD3G CD4 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQA2 HLA-DQB1 HLA-DQB2 HLA-DRA HLA-DRB1 HLA-DRB5 LCK PDCD1 PDCD1LG2 PTPN6"
"PDE3B signalling"	"AKT2 PDE3B"
"PECAM1 interactions"	"SRC FYN INPP5D ITGAV LCK LYN PLCG1 PTPN6 YES1 ITGB3 PECAM1"
"PERK regulates gene expression"	"EIF2S1 ASNS ATF3 ATF6 DCP2 DDIT3 DIS3 EXOSC2 EXOSC3 EXOSC4 EXOSC6 EXOSC7 EXOSC8 EXOSC9 HERPUD1 IGFBP1 KHSRP NFYA NFYC PARN HSPA5 EIF2AK3"
"PI Metabolism"	"INPP5E ARF1 INPP5D PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PTEN PIP5K1C OCRL PIK3C2A INPPL1 MTMR4 PIP5K1B PIK3CG PITPNB PIK3C3 PIK3R4 INPP4A INPP4B INPP5J ARF3 FIG4 MTM1 MTMR1 MTMR14 MTMR2 MTMR3 MTMR6 MTMR7 PI4K2B PI4KA PI4KB PIK3C2B PIK3C2G PIKFYVE PIP4K2A PIP4K2B PIP5K1A SACM1L TPTE TPTE2 VAC14"
"PI and PC transport between ER and Golgi membranes"	"PITPNB"
"PI-3K cascade"	"AKT1 AKT1S1 AKT2 AKT3 BAD CASP9 CDKN1A CDKN1B CHUK GSK3B MDM2 TSC2 CREB1 FOXO1 FOXO3 FOXO4 NR4A1 RPS6KB2 FGF1 FGF10 FGF16 FGF17 FGF18 FGF2 FGF20 FGF22 FGF23 FGF3 FGF4 FGF5 FGF6 FGF7 FGF9 FGFR2 PDPK1 THEM4 TRIB3 AGO1 AGO2 AGO3 AGO4 BTC CD19 CD28 CD80 CD86 EGFR ERBB2 ERBB3 ERBB4 EREG FGF19 FGFR1 FGFR3 FGFR4 FRS2 FYN GAB1 GRB2 HBEGF IRS1 IRS2 KIT KITLG KL LCK MAPKAP1 MIR26A1 MIR26A2 MLST8 MOV10 MTOR NRG1 NRG2 PDGFA PDGFRA PDGFRB PHLPP1 PHLPP2 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PTEN RICTOR TNRC6A TNRC6C TRAT1 VAV1"
"PI3K Cascade"	"EIF4B EIF4G1 RPS6 AKT2 TSC2 PRKAA2 PRKAB2 PRKAG2 STK11 FGF1 FGF10 FGF16 FGF17 FGF18 FGF2 FGF20 FGF22 FGF23 FGF3 FGF4 FGF5 FGF6 FGF7 FGF9 FGFR2 PDPK1 THEM4 TRIB3 PRKAB1 PRKAG3 EIF4EBP1 FGF19 FGFR1 FGFR3 FGFR4 FRS2 GAB1 GRB2 IRS1 IRS2 KL MLST8 MTOR PIK3CA PIK3CB PIK3R1 PIK3R2 RPTOR PPM1A CAB39 CAB39L PRKAA1 RHEB STRADA STRADB TSC1 PDE3B DOK1 EEF2K PIK3C3 PIK3R4 RPS6KB1 TLR9"
"PI3K events in ERBB2 signaling"	"AKT1 AKT1S1 AKT2 AKT3 BAD CASP9 CDKN1A CDKN1B CHUK GSK3B MDM2 TSC2 CREB1 FOXO1 FOXO3 FOXO4 NR4A1 RPS6KB2 FGF1 FGF10 FGF16 FGF17 FGF18 FGF2 FGF20 FGF22 FGF23 FGF3 FGF4 FGF5 FGF6 FGF7 FGF9 FGFR2 PDPK1 THEM4 TRIB3 AGO1 AGO2 AGO3 AGO4 BTC CD19 CD28 CD80 CD86 EGFR ERBB2 ERBB3 ERBB4 EREG FGF19 FGFR1 FGFR3 FGFR4 FRS2 FYN GAB1 GRB2 HBEGF IRS1 IRS2 KIT KITLG KL LCK MAPKAP1 MIR26A1 MIR26A2 MLST8 MOV10 MTOR NRG1 NRG2 PDGFA PDGFRA PDGFRB PHLPP1 PHLPP2 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PTEN RICTOR TNRC6A TNRC6C TRAT1 VAV1"
"PI3K events in ERBB4 signaling"	"AKT1 AKT1S1 AKT2 AKT3 BAD CASP9 CDKN1A CDKN1B CHUK GSK3B MDM2 TSC2 CREB1 FOXO1 FOXO3 FOXO4 NR4A1 RPS6KB2 FGF1 FGF10 FGF16 FGF17 FGF18 FGF2 FGF20 FGF22 FGF23 FGF3 FGF4 FGF5 FGF6 FGF7 FGF9 FGFR2 PDPK1 THEM4 TRIB3 AGO1 AGO2 AGO3 AGO4 BTC CD19 CD28 CD80 CD86 EGFR ERBB2 ERBB3 ERBB4 EREG FGF19 FGFR1 FGFR3 FGFR4 FRS2 FYN GAB1 GRB2 HBEGF IRS1 IRS2 KIT KITLG KL LCK MAPKAP1 MIR26A1 MIR26A2 MLST8 MOV10 MTOR NRG1 NRG2 PDGFA PDGFRA PDGFRB PHLPP1 PHLPP2 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PTEN RICTOR TNRC6A TNRC6C TRAT1 VAV1"
"PI3K/AKT Signaling in Cancer"	"AKT1 AKT1S1 AKT2 AKT3 BAD CASP9 CDKN1A CDKN1B CHUK GSK3B MDM2 TSC2 CREB1 FOXO1 FOXO3 FOXO4 NR4A1 RPS6KB2 FGF1 FGF10 FGF16 FGF17 FGF18 FGF2 FGF20 FGF22 FGF23 FGF3 FGF4 FGF5 FGF6 FGF7 FGF9 FGFR2 PDPK1 THEM4 TRIB3 AGO1 AGO2 AGO3 AGO4 BTC CD19 CD28 CD80 CD86 EGFR ERBB2 ERBB3 ERBB4 EREG FGF19 FGFR1 FGFR3 FGFR4 FRS2 FYN GAB1 GRB2 HBEGF IRS1 IRS2 KIT KITLG KL LCK MAPKAP1 MIR26A1 MIR26A2 MLST8 MOV10 MTOR NRG1 NRG2 PDGFA PDGFRA PDGFRB PHLPP1 PHLPP2 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PTEN RICTOR TNRC6A TNRC6C TRAT1 VAV1"
