"V1"
"2-LTR circle formation"	"XRCC4"
"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"	"EIF4G1 RPL3L RPL4 RPS13 RPS27A ETF1 SMG1 UPF1 UPF2"
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"	"EIF4G1 RPL3L RPL4 RPS13 RPS27A ETF1 UPF1"
"Nonsense-Mediated Decay (NMD)"	"EIF4G1 RPL3L RPL4 RPS13 RPS27A ETF1 SMG1 UPF1 UPF2"
"Norepinephrine Neurotransmitter Release Cycle"	"PPFIA1 PPFIA2 PPFIA3 PPFIA4 RIMS1 SNAP25 STX1A SYT1"
"Notch-HLH transcription pathway"	"NOTCH1 NOTCH3 CREBBP"
"NrCAM interactions"	"DLG1 CNTN2 NRCAM"
"Nuclear Envelope Breakdown"	"PRKCA NEK9 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR LPIN3"
"Nuclear Envelope Reassembly"	"ANKLE2"
"Nuclear Events (kinase and transcription factor activation)"	"PPP2R1B MAPK1 DUSP6 DUSP7 MAPK7 RPS6KA5"
"Nuclear Pore Complex (NPC) Disassembly"	"NEK9 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR"
"Nuclear Receptor transcription pathway"	"RORA HNF4G NR5A2 ESRRA AR NR1D2 RARG RXRB RXRG"
"Nuclear import of Rev protein"	"NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR"
"Nuclear signaling by ERBB4"	"APH1A NCSTN CUL1 RBX1 JAK2 ERBB4 NCOR1 STAT5A YAP1"
"Nucleosome assembly"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB CASC5 CENPI CENPO SMARCA5"
"Nucleotide Excision Repair"	"POLR2A POLR2B POLE POLD1 POLD3 ERCC5 ERCC8 GTF2H1"
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways"	"ITCH APP IRAK1 IRAK2 MAP3K7 TAB1 TAB3 MAPK12 HSP90AB1 MAPK13 CYLD MEFV NLRP1 TNFAIP3 TXNIP"
"Nucleotide-like (purinergic) receptors"	"GPR17 LPAR4 P2RY13"
"O-glycosylation of TSR domain-containing proteins"	"SEMA5A ADAMTS14 ADAMTS3 ADAMTS4 ADAMTS9 ADAMTS10 ADAMTS20 ADAMTS6 ADAMTS7 ADAMTSL1 POFUT2 SEMA5B SPON1 THBS2 THSD4 THSD7A THSD7B"
"O-linked glycosylation"	"ST3GAL3 ST6GALNAC3 SEMA5A ADAMTS14 ADAMTS3 B3GNT3 ADAMTS4 ADAMTS9 ADAMTS10 ADAMTS20 ADAMTS6 ADAMTS7 ADAMTSL1 B3GNT8 GALNT14 GALNT16 GALNT2 GALNT5 GALNT6 GALNTL5 MUC16 MUC17 MUC3A MUC4 MUC5B POFUT2 SEMA5B SPON1 THBS2 THSD4 THSD7A THSD7B WBSCR17"
"O-linked glycosylation of mucins"	"ST3GAL3 ST6GALNAC3 B3GNT3 B3GNT8 GALNT14 GALNT16 GALNT2 GALNT5 GALNT6 GALNTL5 MUC16 MUC17 MUC3A MUC4 MUC5B WBSCR17"
"O2/CO2 exchange in erythrocytes"	"CA4"
"Olfactory Signaling Pathway"	"OR10AG1 OR10K1 OR11H1 OR11H4 OR11L1 OR13G1 OR13H1 OR13J1 OR14I1 OR1C1 OR1F1 OR1J4 OR1L3 OR1L4 OR1M1 OR2A2 OR2D3 OR2F1 OR2G2 OR2L13 OR2L8 OR2M2 OR2M3 OR2M4 OR2M5 OR2T3 OR2W1 OR2W3 OR4A5 OR4B1 OR4C11 OR4C12 OR4D2 OR4D6 OR4D9 OR4E2 OR4F6 OR4K1 OR4K15 OR51A2 OR51G1 OR51G2 OR51L1 OR51V1 OR52I1 OR52K2 OR52N4 OR5A1 OR5B17 OR5D13 OR5D16 OR5H14 OR5H6 OR6B3 OR6T1 OR8D2 OR8G5 OR8H3 OR8I2 OR8J3 OR8S1 OR8U1"
"Oncogene Induced Senescence"	"RPS27A MAPK1 TFDP1 TP53 AGO1 AGO3 AGO4 TNRC6B TNRC6C ETS2"
"Opioid Signalling"	"GNB2 GNB3 GNG8 PLA2G4A PPP2R1B MAPK1 PLCB1 PLCB2 PRKCA CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB ITPR2 ITPR3 POMC PRKAR1A PDE1C GNAT2 PDE4B PLCB4"
"Opsins"	"RHO OPN3 OPN5"
"Orc1 removal from chromatin"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 CCNA1 MCM2 MCM4 MCM7 ORC6 RB1"
"Orexin and neuropeptides FF and QRFP bind to their respective receptors"	"HCRTR2"
"Organelle biogenesis and maintenance"	"CALM1 AKAP9 PRKACA MAPK12 PRKAG3 CHD9 CREBBP NCOA2 SMARCD3 TBL1XR1 RHO DYNC1H1 KIF3B ALMS1 CC2D2A CCP110 CEP135 CEP162 CEP290 CKAP5 CLASP1 CNTRL NEDD1 NPHP4 ODF2 PCM1 PCNT SFI1 TCTN2 TMEM67 ASAP1 BBS2 BBS4 EXOC1 IFT122 IFT140 IFT172 NPHP3 PKD1 TCP1 TNPO1 TRIP11 TTC21B WDR19 NCOR1 HCFC1 ESRRA NRF1 ATP5B POLRMT TFB2M GABPA PPRC1 DAP3 GFM2 MRPL20 MRPL3 MRPL47 MRPS35 MTFMT"
"Organic anion transporters"	"SLC17A8 SLC5A8"
"Organic cation transport"	"SLC22A16 SLC22A18 SLC22A4 SLC22A5"
"Organic cation/anion/zwitterion transport"	"SLC22A16 SLC22A18 SLC22A4 SLC22A5"
"Orphan transporters"	"PLG CHD9 CREBBP NCOA2 SMARCD3 TBL1XR1 CYP7B1 SLC10A2 APOB SLC5A2 SLC5A9 GABRA1 GABRA2 GABRA3 GABRA5 GABRB1 RARG RXRB RXRG ANO1 ANO2 ANO4 ANO5 ANO7 BEST4 CLCA1 LCN2 LRPPRC SCO1 APOD"
"Other semaphorin interactions"	"ITGA1 PLXNA1 PLXNA2 PLXNB3 SEMA4A SEMA4D SEMA5A"
"Oxidative Stress Induced Senescence"	"RPS27A MAPK1 FOS MAP2K4 TFDP1 TP53 AGO1 AGO3 AGO4 TNRC6B TNRC6C HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB CBX8 EED KDM6B RNF2 TNIK"
"Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha"	"EPAS1"
"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha"	"RPS27A RBX1 EPAS1 HIF3A"
"P2Y receptors"	"GPR17 LPAR4 P2RY13"
"PCP/CE pathway"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 PRKCA RAC1 AP2A2 CLTA FZD3 PRICKLE1 SCRIB RHOA DVL3"
"PECAM1 interactions"	"FYN INPP5D ITGB3"
"PERK regulates gene expression"	"EIF2S1 CCL2 DCP2 EXOSC5 NFYC PARN HSPA5"
"PI Metabolism"	"INPP5D PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN INPPL1 MTMR4 PIK3R6 INPP4B FIG4 MTMR14 MTMR6 PIK3C2G SACM1L TPTE"
"PI-3K cascade"	"AKT1 RPS6KB2 FGF17 FGF22 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C"
"PI3K Cascade"	"EIF4G1 FGF17 FGF22 PRKAG3 FGF19 FGFR3 FGFR4 GAB1 IRS2 MTOR PIK3CA PIK3CB PIK3R1 PRKAA1 TSC1 TLR9"
"PI3K events in ERBB2 signaling"	"AKT1 RPS6KB2 FGF17 FGF22 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C"
"PI3K events in ERBB4 signaling"	"AKT1 RPS6KB2 FGF17 FGF22 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C"
"PI3K/AKT Signaling in Cancer"	"AKT1 RPS6KB2 FGF17 FGF22 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C"
"PI3K/AKT activation"	"AKT1 RPS6KB2 FGF17 FGF22 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C RHOA"
"PIP3 activates AKT signaling"	"AKT1 RPS6KB2 FGF17 FGF22 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C"
"PIWI-interacting RNA (piRNA) biogenesis"	"POLR2A POLR2B ASZ1 HENMT1 PIWIL2 TDRD6"
"PKA activation"	"ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB PRKAR1A"
"PKA activation in glucagon signalling"	"ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB GNAS PRKAR1A"
"PKA-mediated phosphorylation of CREB"	"ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB PRKAR1A"
"PKA-mediated phosphorylation of key metabolic factors"	"PRKACA PRKACB PFKFB1"
"PKB-mediated events"	"EIF4G1 PRKAG3 MTOR PRKAA1 TSC1"
"PKMTs methylate histone lysines"	"EHMT1 EHMT2 ATF7IP KMT2A KMT2B KMT2C KMT2D KMT2E NSD1 SETD1A SUV39H2 WDR5 WHSC1"
"PLC beta mediated events"	"PLA2G4A MAPK1 PLCB1 PLCB2 PRKCA CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB ITPR2 ITPR3 PRKAR1A PDE1C GNAT2 PLCB4"
"PLC-gamma1 signalling"	"PRKCA CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB ITPR2 ITPR3 PRKAR1A PDE1C"
"PLCG1 events in ERBB2 signaling"	"PRKCA CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB EGF EGFR ERBB2 ITPR2 ITPR3 PRKAR1A PDE1C"
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation"	"POLR2A POLR2B EPHA1 STAT3 TDGF1"
"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation"	"DKK1 EOMES GATA6"
"PP2A-mediated dephosphorylation of key metabolic factors"	"PPP2R1B PFKFB1"
"PPARA activates gene expression"	"NFYC CHD9 CREBBP HMGCR NCOA2 SMARCD3 TBL1XR1 CYP4A11 EP300 CLOCK NCOR1 NPAS2 RORA ACADM TIAM2 MED11 MED12 MED13 MED29 NCOA3 WWTR1 ACSL1 ABCA1 ABCB4 CPT2 ESRRA G0S2 GRHL1 NRF1 PLIN2 RGL1 SLC27A1 TEAD1 YAP1"
"PRC2 methylates histones and DNA"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB EED DNMT1 DNMT3B JARID2 PHF19"
"Packaging Of Telomere Ends"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB POT1 TINF2"
"Packaging of Eight RNA Segments"	"BLOC1S6"
"Pausing and recovery of HIV elongation"	"GTF2F1 NELFB POLR2A POLR2B CCNT1 ELL SUPT16H"
"Pausing and recovery of Tat-mediated HIV elongation"	"GTF2F1 NELFB POLR2A POLR2B CCNT1 ELL SUPT16H"
"Pentose phosphate pathway (hexose monophosphate shunt)"	"RPE"
"Peptide chain elongation"	"RPL3L RPL4 RPS13 RPS27A EEF1A1"
"Peptide hormone biosynthesis"	"POMC INHBE"
"Peptide hormone metabolism"	"GNB3 STX1A CMA1 KIF5C POMC EXOC1 MYO5A BCHE INHBE ERO1LB PCSK2 SLC30A8 ACE ATP6AP2 CPA3 MME PLA2G7"
"Peptide ligand-binding receptors"	"CCL2 APP C5 POMC CCR1 CCR3 CCRL2 CXCR3 XCL1 AGTR1 AVPR1A C5AR2 CCKAR F2RL3 GAL GALR2 GHSR GPR37L1 HCRTR2 KNG1 MC2R MC3R MC5R MLN MLNR NMUR1 NMUR2 NPY5R OPRL1 RXFP3 SSTR4"
"Peroxisomal lipid metabolism"	"HACL1 CROT"
"Phagosomal maturation (early endosomal stage)"	"CYBB NCF2 ATP6V0A2 ATP6V1B2 ATP6V1C2 ATP6V1G3 NOS1"
"Phase 1 - Functionalization of compounds"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Phase II conjugation"	"NAT1 GGT1 GGT6 ACSM2A GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11"
"Phospholipase C-mediated cascade"	"PRKCA FGF17 FGF22 CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB FGF19 FGFR3 FGFR4 ITPR2 ITPR3 PRKAR1A PDE1C"
"Phospholipid metabolism"	"PLA2G4A GPAM LCLAT1 LPCAT1 PLA2G4D PLA2G4E PNPLA8 MBOAT7 INPP5D PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN SLC44A1 SLC44A2 LPIN3 INPPL1 MTMR4 PLD1 PIK3R6 BCHE PGS1 INPP4B FIG4 MTMR14 MTMR6 PIK3C2G SACM1L TPTE"
"Phosphorylation of CD3 and TCR zeta chains"	"PAG1"
"Phosphorylation of Emi1"	"CDC20"
"Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes"	"RB1"
"Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes"	"CCNA1"
"Phosphorylation of the APC/C"	"CDC27"
"Platelet Adhesion to exposed collagen"	"FYN ITGA1 ITGA2 VWF"
"Platelet Aggregation (Plug Formation)"	"AKT1 SOS1 RAPGEF3 SYK ADRA2C PTK2 ITGB3 TLN1 FN1 FGG BCAR1 VWF APBB1IP MPL"
"Platelet activation, signaling and aggregation"	"GNA15 GNB2 GNB3 GNG8 PLA2G4A AKT1 JAK2 MAPK1 HSPA5 PRKCA APP CALM1 PLG ACTN2 RAC1 SOS1 EGF FYN ITPR2 ITPR3 LAT PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PRKCQ RAPGEF3 SYK ADRA2C PTK2 DAGLA ITGB3 RHOA TLN1 TRPC6 VAV2 ALB ACTN1 FN1 GAS6 PROS1 SELP F2RL3 KNG1 F5 FGG HGF IL2RB IL3RA PRKCZ HRG BCAR1 DGKE DGKG VWF PIK3R6 APBB1IP IGF2 MMRN1 MPL TF TTN WDR1"
"Platelet calcium homeostasis"	"ITPR2 ITPR3 TRPC6 P2RX1 ATP2B1 ATP2B2 SLC8A1 SLC8A2"
"Platelet degranulation"	"HSPA5 APP CALM1 PLG ACTN2 EGF ITGB3 TLN1 ALB ACTN1 FN1 GAS6 PROS1 SELP KNG1 F5 FGG HGF HRG VWF IGF2 MMRN1 TF TTN WDR1"
"Platelet homeostasis"	"GNB2 GNB3 GNG8 PLA2G4A PPP2R1B ITPR2 ITPR3 PRKG1 GNAS TRPC6 APOB KCNMB3 KCNMB4 NOS1 P2RX1 PDE10A PDE11A PDE3A ATP2B1 ATP2B2 GUCY1A3 PDE9A SLC8A1 SLC8A2"
"Platelet sensitization by LDL"	"PLA2G4A PPP2R1B APOB"
"Polo-like kinase mediated events"	"EP300 FOXM1 LIN37 LIN52 LIN54 PKMYT1"
"Polymerase switching"	"POLD1 POLD3"
"Polymerase switching on the C-strand of the telomere"	"POLD1 POLD3"
"Post NMDA receptor activation events"	"BRAF MAPK1 CALM1 ADCY1 ADCY3 ADCY8 ACTN2 AKAP9 CAMK2A CAMK2B GRIN2A GRIN2D PRKACA PRKACB RASGRF1 RPS6KA6"
"Post-Elongation Processing of Intron-Containing pre-mRNA"	"CDC40 CPSF7 DHX38 SRSF5 SRSF6"
"Post-Elongation Processing of Intronless pre-mRNA"	"CPSF7 SNRPB ZNF473"
"Post-Elongation Processing of the Transcript"	"CDC40 CPSF7 DHX38 SNRPB SRSF5 SRSF6 ZNF473"
"Post-transcriptional silencing by small RNAs"	"AGO1 AGO3 AGO4 TNRC6B TNRC6C"
"Post-translational modification: synthesis of GPI-anchored proteins"	"PGAP1 PIGX"
"Post-translational protein modification"	"FURIN SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5 PGAP1 SEMA5A ARSB GAS6 PROS1 ADAMTS14 ADAMTS3 B3GNT3 ADAMTS4 ADAMTS9 ARSE ARSF ARSH ARSI DPH3 STS SUMF2 ADAMTS10 ADAMTS20 ADAMTS6 ADAMTS7 ADAMTSL1 B3GNT8 GALNT14 GALNT16 GALNT2 GALNT5 GALNT6 GALNTL5 MUC16 MUC17 MUC3A MUC4 MUC5B PIGX POFUT2 SEMA5B SENP2 SENP5 SPON1 THBS2 THSD4 THSD7A THSD7B WBSCR17"
"Postsynaptic nicotinic acetylcholine receptors"	"CHRNA3 CHRNA4 CHRNB3 CHRND"
"Potassium Channels"	"ABCC9 GNB2 GNB3 GNG8 KCNJ16 KCNJ3 KCNMB3 KCNMB4 KCNB1 KCNC2 KCNS3 HCN1 HCN2 HCN4 KCNA2 KCNA4 KCNA5 KCNA6 KCNB2 KCNC1 KCNC4 KCND1 KCNF1 KCNH1 KCNH3 KCNH5 KCNH6 KCNH7 KCNH8 KCNK13 KCNK16 KCNQ4 KCNV2"
"Potassium transport channels"	"KCNJ16"
"Pre-NOTCH Expression and Processing"	"NOTCH1 NOTCH3 TFDP1 TP53 FURIN CREBBP AGO1 AGO3 AGO4 TNRC6B TNRC6C ST3GAL3 EP300 LFNG POGLUT1"
"Pre-NOTCH Processing in Golgi"	"NOTCH1 NOTCH3 FURIN ST3GAL3 LFNG"
"Pre-NOTCH Processing in the Endoplasmic Reticulum"	"NOTCH1 NOTCH3 POGLUT1"
"Pre-NOTCH Transcription and Translation"	"NOTCH1 NOTCH3 TFDP1 TP53 CREBBP AGO1 AGO3 AGO4 TNRC6B TNRC6C EP300"
"Prefoldin mediated transfer of substrate  to CCT/TriC"	"TCP1 CCT6A ACTB"
"Pregnenolone biosynthesis"	"CYP11A1 FDXR"
"Presynaptic function of Kainate receptors"	"GNB2 GNB3 GNG8 PLCB1 PLCB2 GRIK3"
"Presynaptic nicotinic acetylcholine receptors"	"CHRNA3 CHRNA4 CHRNB3 CHRND"
"Presynaptic phase of homologous DNA pairing and strand exchange"	"BRCA2"
"Processing and activation of SUMO"	"SENP2 SENP5"
"Processing of Capped Intron-Containing Pre-mRNA"	"HNRNPD GTF2F1 POLR2A POLR2B DHX9 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR CDC40 CPSF7 DHX38 SNRPB SRSF5 SRSF6 CDC5L DNAJC8 EFTUD2 HNRNPH2 HNRNPL HNRNPM HNRNPR HNRNPU NHP2L1 PCBP2 PHF5A PRPF6 SF3A2 SF3A3 SNRPA SUGP1"
"Processing of Capped Intronless Pre-mRNA"	"CPSF7 SNRPB ZNF473"
"Processing of DNA ends prior to end rejoining"	"PRKDC"
"Processing of Intronless Pre-mRNAs"	"CPSF7"
"Processing-defective Hh variants abrogate ligand secretion"	"RPS27A GPC5 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 P4HB OS9 SCUBE2"
"Processive synthesis on the C-strand of the telomere"	"FEN1 POLD1 POLD3"
"Processive synthesis on the lagging strand"	"FEN1 POLD1 POLD3"
"Programmed Cell Death"	"RPS27A AKT1 APC PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 FADD RIPK1 BID CLSPN SFN TFDP1 TP53 HIST1H1D KPNA1 PAK2 APAF1 PRKCQ ACIN1 ARHGAP10 BMX DNM1L DSG1 DSG2 DSP FASLG PLEC PTK2 ROCK1 SATB1 SPTAN1 VIM UNC5A DAPK3"
"Prolactin receptor signaling"	"CUL1 RBX1 JAK2 STAT5A"
"Prolonged ERK activation events"	"BRAF IL6 JAK2 KIDINS220 MAP2K1 MAP2K2 MAPK1"
"Propionyl-CoA catabolism"	"PCCA"
"Prostacyclin signalling through prostacyclin receptor"	"GNB2 GNB3 GNG8 GNAS"
"Prostanoid ligand receptors"	"PTGER2 PTGER3"
"Protein folding"	"FBXW7 TCP1 AP3M1 ARFGEF2 CCT6A ACTB"
"Proton/oligonucleotide cotransporters"	"SLC15A3"
"Purine catabolism"	"GPX1 CAT NT5C1B XDH"
"Purine metabolism"	"ADAL GPX1 CAT GMPS IMPDH1 NT5C1B XDH"
"Purine ribonucleoside monophosphate biosynthesis"	"GMPS IMPDH1"
"Purine salvage"	"ADAL"
"Pyrimidine catabolism"	"NT5C3A UPB1"
"Pyrimidine metabolism"	"NT5C3A UCK2 UPB1"
"Pyrimidine salvage reactions"	"UCK2"
"Pyruvate metabolism"	"MPC1 PDK1 PDK4 PDP1"
"Pyruvate metabolism and Citric Acid (TCA) cycle"	"DLST SDHA SDHC SUCLG2 L2HGDH MPC1 PDK1 PDK4 PDP1"
"RA biosynthesis pathway"	"ADH1C ALDH1A3"
"RAF phosphorylates MEK"	"MAP2K1 MAP2K2"
"RAF/MAP kinase cascade"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1"
"REV-ERBA represses gene expression"	"CHD9 CREBBP NCOA2 SMARCD3 TBL1XR1 EP300 CLOCK NCOR1 NPAS2 RORA"
"RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways"	"RPS27A ITCH APP DHX9 FADD NFKBIA RIPK1 TRAF3 CREBBP EP300 IFNA21 IFNA8 IRF1 IRF2 PCBP2 CYLD DHX58 NLRC5 NLRX1 TAX1BP1 TNFAIP3"
"RIP-mediated NFkB activation via ZBP1"	"APP DHX9 NFKBIA RIPK1 ZBP1"
"RMTs methylate histone arginines"	"JAK2 SMARCD3 HIST1H2AB HIST2H2AC ACTL6B ARID1A ARID1B ARID2 HIST2H2AB PRMT5 SMARCA4 SMARCD1 WDR5 WDR77"
"RNA Pol II CTD phosphorylation and interaction with CE"	"GTF2F1 POLR2A POLR2B GTF2H1"
"RNA Polymerase I Chain Elongation"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB GTF2H1 TAF1C"
"RNA Polymerase I Promoter Clearance"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB EHMT2 CHD3 GATAD2B MBD3 MTA1 GTF2H1 TAF1C"
"RNA Polymerase I Promoter Escape"	"GTF2H1 TAF1C"
"RNA Polymerase I Promoter Opening"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB"
"RNA Polymerase I Transcription"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB EHMT2 CHD3 GATAD2B MBD3 MTA1 GTF2H1 TAF1C"
"RNA Polymerase I Transcription Initiation"	"EHMT2 CHD3 GATAD2B MBD3 MTA1 GTF2H1 TAF1C"
"RNA Polymerase I Transcription Termination"	"GTF2H1 TAF1C"
"RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB EHMT2 CHD3 GATAD2B MBD3 MTA1 POLR3A POLR3F POLR3GL GTF2H1 TAF1C BRF1 GTF3A GTF3C1 GTF3C2 GTF3C3 POLRMT SNAPC4 TFB2M ZNF143"
"RNA Polymerase II HIV Promoter Escape"	"GTF2F1 POLR2A POLR2B GTF2H1 GTF2E1 TAF1 TAF1L TAF4 TAF5"
"RNA Polymerase II Pre-transcription Events"	"GTF2F1 NELFB POLR2A POLR2B GTF2H1 CCNT1 ELL GTF2E1 SUPT16H TAF1 TAF1L TAF4 TAF5"
"RNA Polymerase II Promoter Escape"	"GTF2F1 POLR2A POLR2B GTF2H1 GTF2E1 TAF1 TAF1L TAF4 TAF5"
"RNA Polymerase II Transcription"	"GTF2F1 NELFB POLR2A POLR2B CDC40 CPSF7 DHX38 SNRPB SRSF5 SRSF6 ZNF473 GTF2H1 CCNT1 ELL GTF2E1 SUPT16H TAF1 TAF1L TAF4 TAF5"
"RNA Polymerase II Transcription Elongation"	"GTF2F1 NELFB POLR2A POLR2B GTF2H1 CCNT1 ELL SUPT16H"
"RNA Polymerase II Transcription Initiation"	"GTF2F1 POLR2A POLR2B GTF2H1 GTF2E1 TAF1 TAF1L TAF4 TAF5"
"RNA Polymerase II Transcription Initiation And Promoter Clearance"	"GTF2F1 POLR2A POLR2B GTF2H1 GTF2E1 TAF1 TAF1L TAF4 TAF5"
"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening"	"GTF2F1 POLR2A POLR2B GTF2H1 GTF2E1 TAF1 TAF1L TAF4 TAF5"
"RNA Polymerase II Transcription Termination"	"CDC40 CPSF7 DHX38 SNRPB SRSF5 SRSF6 ZNF473"
"RNA Polymerase III Abortive And Retractive Initiation"	"POLR3A POLR3F POLR3GL BRF1 GTF3A GTF3C1 GTF3C2 GTF3C3 SNAPC4 ZNF143"
"RNA Polymerase III Chain Elongation"	"POLR3A POLR3F POLR3GL"
"RNA Polymerase III Transcription"	"POLR3A POLR3F POLR3GL BRF1 GTF3A GTF3C1 GTF3C2 GTF3C3 SNAPC4 ZNF143"
"RNA Polymerase III Transcription Initiation"	"POLR3A POLR3F POLR3GL BRF1 GTF3A GTF3C1 GTF3C2 GTF3C3 SNAPC4 ZNF143"
"RNA Polymerase III Transcription Initiation From Type 1 Promoter"	"POLR3A POLR3F POLR3GL BRF1 GTF3A GTF3C1 GTF3C2 GTF3C3"
"RNA Polymerase III Transcription Initiation From Type 2 Promoter"	"POLR3A POLR3F POLR3GL BRF1 GTF3C1 GTF3C2 GTF3C3"
"RNA Polymerase III Transcription Initiation From Type 3 Promoter"	"POLR3A POLR3F POLR3GL SNAPC4 ZNF143"
"RNA Polymerase III Transcription Termination"	"POLR3A POLR3F POLR3GL"
"RNF mutants show enhanced WNT signaling and proliferation"	"RPS27A AKT1 APC AXIN2 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1 CREBBP HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB EP300 CSNK2A1 KMT2D SMARCA4 TRRAP DKK1 DVL3 HECW1 LEO1 LGR6 LRP5 LRP6 RSPO4 SFRP1 TNKS USP34 ZNRF3"
"RORA activates circadian gene expression"	"CHD9 CREBBP NCOA2 SMARCD3 TBL1XR1 EP300 CLOCK NCOR1 NPAS2 RORA"
"RSK activation"	"MAPK1 RPS6KA6"
